label;palm_normal_x;palm_normal_y;palm_normal_z;digit_0_diff_x;digit_0_diff_y;digit_0_diff_z;digit_1_diff_x;digit_1_diff_y;digit_1_diff_z;digit_2_diff_x;digit_2_diff_y;digit_2_diff_z;digit_3_diff_x;digit_3_diff_y;digit_3_diff_z;digit_4_diff_x;digit_4_diff_y;digit_4_diff_z;digit_0_distance;digit_1_distance;digit_2_distance;digit_3_distance;digit_4_distance
0;0.5452488660812378;-0.8015461564064026;-0.245412677526474;22.780461311340332;-35.47381591796875;-13.529759407043457;25.688559532165527;-8.334564208984375;6.063223533332348;14.377094268798828;-15.161239624023438;11.480335235595703;9.325296401977539;-27.044830322265625;2.4468424320220947;2.5829620361328125;-32.63291931152344;1.665116310119629;44.276352864163144;27.679048592869858;23.84034655101823;28.711862322601387;32.77730507529149
0;0.4822653830051422;-0.8421952128410339;-0.24109607934951782;12.636289596557617;-39.63471984863281;-8.308073997497559;22.7175931930542;-7.4467620849609375;6.68574059009552;9.809900283813477;-11.911224365234375;14.46939468383789;6.8580322265625;-25.753494262695312;6.880339503288269;-0.5401229858398438;-30.657913208007812;6.990370035171509;42.42182133991388;24.824230769012058;21.153599976694107;27.524791451339993;31.449398219015194
0;0.4622078537940979;-0.8525163531303406;-0.24408961832523346;11.638603210449219;-38.69276428222656;-8.753179550170898;22.123337745666504;-7.8824920654296875;6.395508646965027;9.793647766113281;-12.493667602539062;14.067328453063965;5.8583984375;-25.6932373046875;7.188909888267517;-1.0371627807617188;-30.265304565429688;7.834016054868698;41.34253553820516;24.34087683350373;21.210775481717135;27.31563107140522;31.27996442804814
0;0.4138123393058777;-0.8843719363212585;-0.21597592532634735;11.163198471069336;-38.33575439453125;-9.807949542999268;20.633599281311035;-8.381210327148438;6.849003195762634;8.388238906860352;-13.328643798828125;12.963022708892822;3.9679489135742188;-25.359634399414062;6.711003422737122;-3.1007652282714844;-29.257476806640625;7.996793508529663;41.11499652608919;23.300192072710164;20.397432564562536;26.530986457210165;30.48874219298057
0;0.3840990364551544;-0.9049487709999084;-0.1831274777650833;9.363337516784668;-40.376373291015625;-8.850175619125366;20.568618535995483;-8.287734985351562;8.091597318649292;7.338187217712402;-13.212203979492188;13.347509622573853;3.274059295654297;-25.052383422851562;6.73264741897583;-4.3154449462890625;-28.396942138671875;8.271040201187134;42.38218043090785;23.605689289531234;20.163515039858712;26.1470824511124;29.890123685277448
0;0.4233952462673187;-0.8857904672622681;-0.19003088772296906;9.571853518486023;-42.96923828125;-7.5769336223602295;21.890101432800293;-8.773666381835938;7.8655383586883545;8.832513570785522;-13.267593383789062;13.710434198379517;6.0088701248168945;-25.914291381835938;6.88434624671936;-2.4751882553100586;-30.130691528320312;6.738835573196411;44.66974078017295;24.860017220228176;21.02423211638818;27.478195742157677;30.974134915386994
0;0.46101635694503784;-0.8568248152732849;-0.23090076446533203;11.344628810882568;-40.84088134765625;-7.973769426345825;23.680291175842285;-9.523101806640625;6.923719167709351;9.433885097503662;-13.184646606445312;13.851275205612183;6.8964760303497314;-26.60528564453125;5.802125692367554;-1.1794986724853516;-31.70135498046875;4.468545913696289;43.13072212442739;26.445860645961623;21.323482806318445;28.090341194337967;32.03646402615147
0;0.45837122201919556;-0.8447057604789734;-0.27634763717651367;13.384756565093994;-36.471649169921875;-10.089243173599243;23.538860321044922;-10.76611328125;5.4960620403289795;10.112843036651611;-14.05145263671875;12.833256483078003;5.922971723601222;-26.926956176757812;4.243781566619873;-1.1892399787902832;-32.367950439453125;3.070162057876587;40.138830691696896;26.46117605756622;21.550066994011107;27.895380351749964;32.53497199076206
0;0.46240371465682983;-0.8202953338623047;-0.3365981876850128;17.04322385787964;-33.658203125;-12.111772060394287;24.076731204986572;-11.525146484375;4.092494010925293;11.653082847595215;-15.53009033203125;10.529835224151611;5.691956102848053;-27.477294921875;1.291446752846241;-0.8406810760498047;-33.20941162109375;-0.04294884204864502;39.623744642783386;27.004934627451608;22.08745063201619;28.090353063211648;33.22007840890654
0;0.453635573387146;-0.8276707530021667;-0.33041778206825256;17.407228469848633;-34.80427551269531;-11.663074374198914;24.02160358428955;-11.914764404296875;4.253800272941589;11.408068656921387;-15.833984375;10.53412926197052;5.183133363723755;-27.796295166015625;1.2798259258270264;-1.3786041736602783;-33.37548828125;-0.318172812461853;40.624826163606;27.149472671356442;22.177172294426533;28.304360985947532;33.40546364620733
0;0.42045825719833374;-0.8551957011222839;-0.3030761778354645;12.380033880472183;-37.8404541015625;-10.091418594121933;22.517304807901382;-12.44482421875;5.334463268518448;9.021367460489273;-15.352294921875;12.269101768732071;4.069127470254898;-27.483154296875;3.7251674234867096;-2.9887493550777435;-32.57316589355469;2.56931009888649;41.07312910816374;26.27468675380732;21.624266194183516;28.031383141187103;32.81074691958036
0;0.4176984429359436;-0.8726061582565308;-0.25315311551094055;9.326382160186768;-44.42347717285156;-8.778264284133911;21.75311803817749;-12.32757568359375;6.912801742553711;7.542067050933838;-15.5250244140625;13.244000434875488;3.4134674072265625;-28.479278564453125;4.832632064819336;-4.054577469825745;-32.826080322265625;2.880599021911621;46.23293903881533;25.941358764518647;21.755751101191624;29.087375267731485;33.20073792113198
0;0.4645008146762848;-0.8624395728111267;-0.20108948647975922;6.742854118347168;-48.75164794921875;-7.6810407638549805;20.165549278259277;-11.0885009765625;10.535982131958008;8.481677055358887;-14.94384765625;16.674348831176758;2.8401427268981934;-29.622695922851562;5.290628433227539;-4.191233638674021;-33.89610290527344;1.926025390625;49.81152122392849;25.31029733302375;23.943503030851097;30.225176156068223;34.208504869172096
0;0.4192829728126526;-0.905730128288269;-0.06208648532629013;-0.49410104751586914;-50.96839904785156;-8.195326089859009;13.741841554641724;-11.812759399414062;15.918334007263184;2.9795548915863037;-15.278396606445312;15.560194969177246;-1.3889262676239014;-28.231658935546875;7.418734550476074;-6.780195951461792;-33.42506408691406;0.6591644287109375;51.625431785751836;24.119967900229778;22.00969826450659;29.22316383898853;34.112174719572025
0;0.29099178314208984;-0.9565613269805908;-0.017724554985761642;-2.2422399520874023;-47.93901062011719;-9.635756969451904;5.957164764404297;-12.926101684570312;17.15180253982544;-2.7535791397094727;-15.624786376953125;13.244322299957275;-6.654538154602051;-25.794158935546875;6.166911602020264;-11.082813262939453;-28.2835693359375;0.04349994659423828;48.9492001120834;22.28802923444049;20.667080601507525;27.34323155646456;30.377474161742356
0;0.28795257210731506;-0.9575185179710388;0.015542833134531975;8.463568568229675;-50.32720947265625;-0.681891679763794;1.9909052848815918;-13.37579345703125;17.619189739227295;-3.9489078521728516;-19.13775634765625;11.929818630218506;-4.240138053894043;-29.469879150390625;1.4349040985107422;-7.989745140075684;-30.015533447265625;-4.8267247676849365;51.038465714367604;22.210614613860233;22.894719124661;29.80790998420774;31.43350994576119
0;0.2180747240781784;-0.975785493850708;0.016913902014493942;14.235899209976196;-43.53436279296875;7.886548042297363;-2.2665605545043945;-15.696548461914062;17.84072208404541;-3.92755126953125;-22.948562622070312;7.400790214538574;-1.675358772277832;-31.52984619140625;-6.055920600891113;-6.217557907104492;-29.1673583984375;-12.52760934829712;46.47686747329134;23.87069950471912;24.430183814156806;32.149839847095365;32.34708361281804
0;0.1453293114900589;-0.9893748760223389;-0.004089337307959795;14.56118369102478;-42.91426086425781;9.85183334350586;-7.833349227905273;-16.116775512695312;16.058753967285156;-7.843090057373047;-22.2608642578125;4.516254425048828;-3.9265480041503906;-30.295761108398438;-8.345932483673096;-8.360219955444336;-25.776199340820312;-13.928780555725098;46.375860921793674;24.062323080590872;24.0303286116647;31.668683417345825;30.4682893830727
0;0.0713738426566124;-0.9974005222320557;-0.009895731694996357;14.546382904052734;-39.32414245605469;12.602543830871582;-10.439693450927734;-16.217330932617188;15.08166790008545;-9.552867889404297;-22.419418334960938;3.292935371398926;-4.015783309936523;-30.163284301757812;-9.062223672866821;-8.835721969604492;-23.800430297851562;-14.346219062805176;43.78138356087482;24.4835807956237;24.591279485838157;31.750183201961242;29.160666427313295
0;0.1675545573234558;-0.9855337142944336;0.025470884516835213;18.597949028015137;-37.45930480957031;9.77754020690918;-3.7654056549072266;-17.986785888671875;13.932520389556885;-5.924983978271484;-22.406356811523438;6.429245233535767;-2.2003517150878906;-31.58758544921875;-7.480560779571533;-6.90576171875;-26.833099365234375;-12.013442516326904;42.94977901413082;23.061176699300304;24.05172457394727;32.535763273030035;30.199794164096307
0;0.41227370500564575;-0.9104946255683899;0.032093390822410583;30.28864097595215;-40.04376220703125;7.905402183532715;11.916183471679688;-17.347976684570312;14.809101581573486;4.495914459228516;-22.767303466796875;14.367717266082764;5.291679382324219;-32.259124755859375;-4.508003234863281;0.7359046936035156;-30.311294555664062;-8.918710708618164;50.82715856259127;25.73435861319434;27.29459018582279;32.999622632159785;31.604739107645198
0;0.5061984658241272;-0.8617097735404968;-0.034920062869787216;35.32032012939453;-40.11540222167969;0.0734405517578125;18.789791107177734;-15.270477294921875;13.922459244728088;7.8385162353515625;-19.600143432617188;16.47095227241516;6.911415100097656;-32.01600646972656;-1.5073013305664062;4.595485687255859;-32.01268005371094;-8.979276657104492;53.44881573023577;27.929887183574778;26.774992588443695;32.788172963075546;33.564230695903895
0;0.48920688033103943;-0.8513396382331848;-0.18946631252765656;31.969446182250977;-43.397308349609375;-7.743290901184082;23.9591121673584;-14.484649658203125;7.192675828933716;11.99032211303711;-15.448471069335938;18.389307975769043;1.0027008056640625;-32.96537780761719;4.305595397949219;-3.1158218383789062;-34.045318603515625;4.150516986846924;54.45484749011127;28.90637848553624;26.84380246131645;33.26048247749062;34.43862447603723
0;0.42261260747909546;-0.8140276670455933;-0.39844387769699097;33.367204666137695;-27.137420654296875;-25.82306671142578;28.678438186645508;-12.78369140625;-1.4140863418579102;18.593761444091797;-15.280609130859375;13.330770492553711;4.575672149658203;-28.949386596679688;4.685774803161621;1.4002914428710938;-32.78193664550781;4.960004806518555;50.16613121801328;31.430482385380383;27.51244122165531;29.68097446936538;33.18460236368297
0;0.2040618509054184;-0.8889023065567017;-0.410135954618454;23.383832931518555;-17.575973510742188;-37.47560691833496;25.529603004455566;-16.013885498046875;-4.68354606628418;16.326509475708008;-16.528366088867188;8.879632949829102;4.113822937011719;-26.359970092773438;4.159566879272461;-1.2698135375976562;-32.82951354980469;8.874174118041992;47.54092554123277;30.49820916159945;24.871463136528355;27.001362170678245;34.03146121773795
